Date,SP5 High,SP5 Low,SP5 Close,SP5 12 day SMA,SP5 26 day SMA,SP5 12 day EMA,SP5 26 day EMA,SP5 MACD
8/5/96,663.640015,659.030029,660.22998,639.3291676,646.6507685,645.2163589,646.95633,-1.739971107
8/6/96,662.75,656.830017,662.380005,641.300003,646.3334608,647.8569198,648.0988244,-0.241904612
8/7/96,664.609985,660,664.159973,643.8324991,645.8826903,650.3650819,649.2885392,1.076542706
8/8/96,664.169983,661.280029,662.590027,646.8091684,645.4588458,652.2458426,650.2738345,1.972008101
8/9/96,665.369995,660.309998,662.099976,649.7633311,645.0626901,653.7618632,651.149845,2.612018139
8/12/96,665.77002,658.950012,665.77002,652.6466675,645.3830754,655.6092719,652.232821,3.376450959
8/13/96,665.77002,659.130005,660.200012,654.6716665,645.6776921,656.3155396,652.8229833,3.492556365
8/14/96,662.419983,658.469971,662.049988,657.2666678,645.9584609,657.1977624,653.5064651,3.69129736
8/15/96,664.179993,660.640015,662.280029,659.518336,646.1976928,657.9796496,654.1563587,3.823290899
8/16/96,666.340027,662.26001,665.210022,661.6233368,646.9492328,659.0920146,654.9751486,4.116866009
8/19/96,667.119995,665,666.580017,663.0033366,647.7334642,660.244015,655.8347685,4.409246497
8/20/96,666.98999,665.150024,665.690002,663.2700043,649.1138493,661.0818591,656.5647858,4.517073358
8/21/96,665.690002,662.159973,665.070007,663.6733398,650.5253882,661.6954203,657.1948022,4.500618182
8/22/96,670.679993,664.880005,670.679993,664.3650055,651.9334646,663.0776623,658.1937052,4.883957105
8/23/96,670.679993,664.929993,667.030029,664.6041768,652.8361581,663.6857187,658.8482477,4.837471018
8/26/96,667.030029,662.359985,663.880005,664.711675,653.8034668,663.7156089,659.2209704,4.494638454
8/27/96,666.400024,663.5,666.400024,665.0700123,655.0584669,664.1285958,659.7527522,4.375843647
8/28/96,667.409973,664.390015,664.809998,664.9900105,656.5176978,664.2334269,660.127363,4.106063949
8/29/96,664.809998,655.349976,657.400024,664.7566782,657.7003901,663.1821342,659.9253379,3.256796299
8/30/96,657.710022,650.52002,651.98999,663.918345,658.5011596,661.4602658,659.3375343,2.12273151
9/3/96,655.130005,643.969971,654.719971,663.2883402,659.2250037,660.4232974,658.9954926,1.427804801
9/4/96,655.820007,652.929993,655.609985,662.4883371,660.1750042,659.6827878,658.7447143,0.938073541
9/5/96,655.609985,648.890015,649.440002,661.0600025,660.7203885,658.1069746,658.0554763,0.051498286
9/6/96,658.210022,649.440002,655.679993,660.2258351,661.3253878,657.7335928,657.8795146,-0.145921772
9/9/96,663.77002,655.679993,663.76001,660.1166687,661.8538489,658.6607339,658.3151068,0.34562708
9/10/96,665.570007,661.549988,663.809998,659.5441691,661.9046185,659.4529284,658.7221358,0.730792579
9/11/96,667.72998,661.789978,667.280029,659.5650024,662.1757742,660.6570977,659.3560538,1.301043889
9/12/96,673.070007,667.280029,671.150024,660.1708373,662.5130826,662.2713941,660.2296813,2.04171282
9/13/96,681.390015,671.150024,680.539978,661.3491668,663.1430828,665.0819454,661.7341477,3.347797767
9/16/96,686.47998,680.530029,683.97998,662.9466653,663.9657733,667.9893354,663.3819871,4.607348268
9/17/96,685.799988,679.960022,682.940002,665.0749968,664.7673128,670.2894379,664.830729,5.458708981
9/18/96,683.77002,679.75,681.469971,667.5316619,665.371157,672.0095199,666.0632654,5.946254543
9/19/96,684.070007,679.059998,683,669.888331,666.2480797,673.700363,667.3178383,6.382524696
9/20/96,687.070007,683,687.030029,672.506668,667.2088505,675.7510809,668.7780006,6.973080266
9/23/96,687.030029,681.01001,686.47998,675.5933328,668.1396178,677.4016807,670.0892583,7.312422399
9/24/96,690.880005,683.539978,685.609985,678.0874988,668.9242318,678.6644968,671.2389418,7.425554983
9/25/96,688.26001,684.919983,685.830017,679.9266661,669.6646164,679.7668845,672.3197622,7.447122324
9/26/96,690.150024,683.77002,685.859985,681.764165,670.440385,680.7042846,673.3227416,7.381542932
9/27/96,687.109985,683.72998,686.190002,683.3399961,671.2526925,681.5482411,674.275872,7.272369062
9/30/96,690.109985,686.030029,687.330017,684.6883288,671.893078,682.4377451,675.2428457,7.194899345
10/1/96,689.539978,684.440002,689.080017,685.3999988,672.7411545,683.4596331,676.2678214,7.191811682
10/2/96,694.820007,689.080017,694.01001,686.2358346,673.9000008,685.082768,677.5820576,7.500710401
10/3/96,694.809998,691.780029,692.780029,687.0558368,674.9146164,686.266962,678.7078332,7.559128742
10/4/96,701.73999,692.780029,701.460022,688.7216744,676.3242327,688.6043558,680.3931806,8.211175275
10/7/96,704.169983,701.390015,703.340027,690.4166767,678.0911559,690.8713822,682.092947,8.778435205
10/8/96,705.76001,699.880005,700.640015,691.5508422,679.9623107,692.3742488,683.4668039,8.907444903
10/9/96,702.359985,694.419983,696.73999,692.405843,681.5784653,693.0459013,684.4500028,8.595898428
10/10/96,696.820007,693.340027,694.609985,693.155843,683.0784653,693.2865295,685.2025941,8.083935424
10/11/96,700.669983,694.609985,700.659973,694.3916727,685.0484642,694.4209054,686.3475851,8.073320314
10/14/96,705.159973,700.659973,703.539978,695.8650054,686.8892328,695.8238397,687.6210957,8.20274397
10/15/96,708.070007,699.070007,702.570007,697.2300058,688.381925,696.8617116,688.7284225,8.133289103
10/16/96,704.419983,699.150024,704.409973,698.6533355,689.9434625,698.0229826,689.8900188,8.132963756
10/17/96,708.52002,704.76001,706.98999,700.1458333,691.4707687,699.4025222,691.1566833,8.245838828
10/18/96,711.039978,706.109985,710.820007,701.5466663,692.9965373,701.1590583,692.6132258,8.545832462
10/21/96,714.099976,707.710022,709.849976,702.9691619,694.1238449,702.4961226,693.8900221,8.606100416
10/22/96,709.849976,704.549988,706.570007,703.394994,694.9926921,703.122874,694.8292803,8.293593731
10/23/96,707.309998,700.97998,707.27002,703.7224934,695.928462,703.7608965,695.7508166,8.010079915
10/24/96,708.25,702.109985,702.289978,703.8599903,696.7292315,703.5346013,696.2351989,7.299402436
10/25/96,704.109985,700.530029,700.919983,704.2083231,697.4184616,703.1323524,696.5822199,6.550132418
10/28/96,705.400024,697.25,697.26001,704.4291585,697.8119224,702.2289151,696.6324266,5.596488462
10/29/96,703.25,696.219971,701.5,704.4991608,698.3896155,702.1167743,696.9929876,5.12378669
10/30/96,703.440002,700.049988,700.900024,704.2791646,698.9776939,701.9295819,697.2823977,4.647184234
10/31/96,706.609985,700.349976,705.27002,704.5041657,699.7253863,702.4434955,697.8740734,4.569422057
11/1/96,708.599976,701.299988,703.77002,704.4508363,700.4142338,702.6475762,698.3108102,4.336765968
11/4/96,707.02002,702.840027,706.72998,704.4291688,701.204233,703.2756383,698.9344524,4.341185888
11/5/96,714.559998,706.72998,714.140015,704.7058361,702.2353868,704.9470809,700.0607904,4.886290488
11/6/96,724.599976,712.830017,724.590027,705.9341737,703.6011564,707.9690726,701.8777709,6.09130171
11/7/96,729.48999,722.22998,727.650024,707.6908418,704.8950031,710.9969113,703.7868267,7.210084602
11/8/96,730.820007,725.219971,730.820007,709.6533407,706.3580792,714.0466183,705.7892845,8.257333835
11/11/96,732.599976,729.940002,731.869995,712.1183421,707.5276935,716.7886763,707.7211889,9.067487305
11/12/96,733.039978,728.200012,729.559998,714.50501,708.5361539,718.753495,709.3388785,9.414616476
11/13/96,732.109985,728.030029,731.130005,717.3275096,709.7088458,720.6575734,710.953036,9.704537422
11/14/96,735.98999,729.200012,735.880005,720.19251,711.214231,722.999486,712.7994782,10.20000782
11/15/96,741.919983,735.150024,737.619995,723.2525076,712.8684622,725.2487951,714.638035,10.6107601
11/18/96,739.23999,734.390015,737.02002,725.8983409,714.2669255,727.0597528,716.2959598,10.76379296
11/19/96,742.179993,736.869995,742.159973,729.0975037,715.75231,729.3828636,718.2118126,11.17105094
11/20/96,746.98999,740.400024,743.950012,732.199173,717.3438486,731.6239633,720.1183459,11.50561741
11/21/96,745.200012,741.080017,742.75,734.5833384,718.818465,733.3356613,721.7947647,11.54089654
11/22/96,748.72998,742.75,748.72998,736.5950012,720.4238493,735.704018,723.7899659,11.91405214
11/25/96,757.049988,747.98999,757.030029,739.0433349,722.2011578,738.9849428,726.2521928,12.73275001
11/26/96,762.119995,752.830017,755.960022,741.1383362,723.9746211,741.5964934,728.4527727,13.14372071
11/27/96,757.299988,753.179993,755,743.0658366,725.8373132,743.6585714,730.419234,13.23933737
11/29/96,758.27002,755,757.02002,745.3541718,727.7507747,745.7141788,732.3896626,13.32451626
12/2/96,757.030029,751.48999,756.559998,747.4733378,729.8380832,747.3827664,734.1800578,13.20270861
12/3/96,761.75,747.580017,748.280029,748.5066732,731.6596234,747.5208068,735.2245001,12.29630669
12/4/96,748.400024,738.460022,745.099976,749.1300049,733.4996221,747.1483713,735.9560168,11.19235445
12/5/96,747.650024,742.609985,744.380005,749.743337,735.148853,746.7224688,736.580016,10.14245282
12/6/96,744.380005,726.890015,739.599976,749.5300039,736.6373127,745.6267007,736.8037167,8.82298396
12/9/96,749.76001,739.599976,749.76001,750.0141704,738.3484662,746.2625944,737.7634421,8.499152274
12/10/96,753.429993,747.02002,747.539978,750.4133353,740.0319261,746.459115,738.48763,7.971484985
12/11/96,747.539978,732.75,740.72998,749.7466686,741.3396184,745.5777096,738.65373,6.923979604
12/12/96,744.859985,729.299988,729.299988,747.4358318,741.9226943,743.0734447,737.9608602,5.112584522
